indicator,geo,year,value,unit,nace_r2,indic_sb,s_adj,region,city,geo_level
GERD_regional,PT17,2000,58.583,EUR_HAB,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,153.751,MIO_EUR,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,153.751,MIO_NAC,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,193.227,MIO_PPS,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,224.216,MIO_PPS_KP05,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,0.32,PC_GDP,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,85.432,PPS_HAB_KP05,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,62.494,EUR_HAB,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,164.016,MIO_EUR,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,164.016,MIO_NAC,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,206.128,MIO_PPS,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,239.186,MIO_PPS_KP05,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,0.35,PC_GDP,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,91.136,PPS_HAB_KP05,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,55.393,EUR_HAB,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,145.381,MIO_EUR,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,145.381,MIO_NAC,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,182.708,MIO_PPS,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,212.011,MIO_PPS_KP05,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,0.31,PC_GDP,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,80.781,PPS_HAB_KP05,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,15.939,EUR_HAB,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,41.831,MIO_EUR,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,41.831,MIO_NAC,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,52.571,MIO_PPS,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
GERD_regional,PT17,2000,61.002,MIO_PPS_KP05,,NA,NA,Área Metropolitana de Lisboa (PT17),Lisbon,NUTS2/3
